fed;slot;oh;vfat;channel
1468;1;2;8;0
1468;1;2;9;2
1468;1;2;12;2
1468;1;2;13;0
1468;1;2;13;1
1468;1;2;15;2
1468;1;2;15;6
1468;1;2;18;126
1468;1;2;19;122
1468;1;2;19;127
1468;1;2;20;126
1468;1;2;21;126
1468;1;2;23;126
1468;1;3;1;126
1468;1;3;2;0
1468;1;3;2;2
1468;1;3;2;5
1468;1;3;3;2
1468;1;3;4;0
1468;1;3;4;2
1468;1;3;5;0
1468;1;3;5;2
1468;1;3;8;0
1468;1;3;9;0
1468;1;3;10;0
1468;1;3;12;0
1468;1;3;12;2
1468;1;3;13;2
1468;1;3;18;126
1468;1;3;19;126
1468;1;3;20;126
1468;1;3;21;122
1468;1;3;21;126
1468;1;4;0;126
1468;1;4;0;127
1468;1;4;1;125
1468;1;4;1;126
1468;1;4;1;127
1468;1;4;2;0
1468;1;4;2;2
1468;1;4;2;3
1468;1;4;3;2
1468;1;4;3;3
1468;1;4;4;125
1468;1;4;4;126
1468;1;4;4;127
1468;1;4;5;0
1468;1;4;5;2
1468;1;4;5;3
1468;1;4;6;126
1468;1;4;7;2
1468;1;4;8;0
1468;1;4;8;2
1468;1;4;9;0
1468;1;4;9;2
1468;1;4;10;0
1468;1;4;10;2
1468;1;4;10;3
1468;1;4;12;125
1468;1;4;12;126
1468;1;4;13;0
1468;1;4;13;1
1468;1;4;13;2
1468;1;4;15;0
1468;1;4;15;1
1468;1;4;15;2
1468;1;4;16;2
1468;1;4;17;0
1468;1;4;17;2
1468;1;4;17;3
1468;1;4;17;6
1468;1;4;18;126
1468;1;4;19;126
1468;1;4;20;0
1468;1;4;20;2
1468;1;4;20;3
1468;1;4;21;125
1468;1;4;21;126
1468;1;4;21;127
1468;1;4;22;0
1468;1;4;22;1
1468;1;4;22;2
1468;1;4;22;5
1468;1;4;23;126
1468;1;5;0;126
1468;1;5;0;127
1468;1;5;1;122
1468;1;5;1;126
1468;1;5;2;0
1468;1;5;2;2
1468;1;5;3;2
1468;1;5;3;3
1468;1;5;3;6
1468;1;5;3;7
1468;1;5;3;10
1468;1;5;3;14
1468;1;5;4;122
1468;1;5;4;126
1468;1;5;4;127
1468;1;5;5;0
1468;1;5;5;2
1468;1;5;5;3
1468;1;5;6;98
1468;1;5;6;122
1468;1;5;6;125
1468;1;5;6;126
1468;1;5;6;127
1468;1;5;7;2
1468;1;5;8;0
1468;1;5;8;2
1468;1;5;9;0
1468;1;5;9;2
1468;1;5;10;0
1468;1;5;10;2
1468;1;5;11;0
1468;1;5;11;2
1468;1;5;12;125
1468;1;5;12;126
1468;1;5;13;0
1468;1;5;13;2
1468;1;5;13;3
1468;1;5;14;124
1468;1;5;14;125
1468;1;5;14;126
1468;1;5;15;0
1468;1;5;16;2
1468;1;5;17;2
1468;1;5;18;126
1468;1;5;18;127
1468;1;5;19;118
1468;1;5;19;122
1468;1;5;19;126
1468;1;5;19;127
1468;1;5;20;2
1468;1;5;20;3
1468;1;5;21;125
1468;1;5;21;126
1468;1;5;21;127
1468;1;5;22;2
1468;1;5;23;59
1468;1;5;23;126
1468;1;6;2;2
1468;1;6;3;2
1468;1;6;3;3
1468;1;6;3;6
1468;1;6;4;2
1468;1;6;9;0
1468;1;6;9;2
1468;1;6;10;0
1468;1;6;10;2
1468;1;6;12;2
1468;1;6;13;0
1468;1;6;13;2
1468;1;6;14;57
1468;1;6;14;72
1468;1;6;18;126
1468;1;6;19;122
1468;1;6;19;126
1468;1;6;20;126
1468;1;6;21;126
1468;1;7;2;2
1468;1;7;3;2
1468;1;7;4;0
1468;1;7;4;2
1468;1;7;5;0
1468;1;7;5;2
1468;1;7;5;3
1468;1;7;7;16
1468;1;7;10;2
1468;1;7;12;0
1468;1;7;12;2
1468;1;7;13;0
1468;1;7;18;126
1468;1;7;19;126
1468;1;7;20;126
1468;1;8;0;122
1468;1;8;0;125
1468;1;8;0;126
1468;1;8;0;127
1468;1;8;1;125
1468;1;8;1;126
1468;1;8;1;127
1468;1;8;2;0
1468;1;8;2;2
1468;1;8;2;3
1468;1;8;3;0
1468;1;8;3;2
1468;1;8;4;122
1468;1;8;4;125
1468;1;8;4;126
1468;1;8;4;127
1468;1;8;5;0
1468;1;8;5;2
1468;1;8;5;3
1468;1;8;6;126
1468;1;8;7;0
1468;1;8;7;2
1468;1;8;7;3
1468;1;8;8;0
1468;1;8;8;1
1468;1;8;8;2
1468;1;8;8;126
1468;1;8;9;0
1468;1;8;9;2
1468;1;8;10;0
1468;1;8;10;2
1468;1;8;12;125
1468;1;8;12;126
1468;1;8;13;0
1468;1;8;13;2
1468;1;8;14;126
1468;1;8;15;0
1468;1;8;15;1
1468;1;8;15;2
1468;1;8;16;0
1468;1;8;16;2
1468;1;8;17;0
1468;1;8;17;2
1468;1;8;17;3
1468;1;8;18;125
1468;1;8;18;126
1468;1;8;18;127
1468;1;8;19;126
1468;1;8;20;0
1468;1;8;20;2
1468;1;8;20;3
1468;1;8;21;109
1468;1;8;21;112
1468;1;8;21;125
